看一下用新的embedding, 不同语言的类似词之间会不会比原来的那个更类似,,,,,,,
 ,Word2Vec,MultiCVM,Delta,,,,,
Monday-Montag,-0.044,0.471,0.515,,,,,
Tuesday-Dienstag,-0.012,0.426,0.437,,,,,
Wednesday-Mittwoch,0.019,0.537,0.518,,,,,
Thursday-Donnerstag,-0.036,0.511,0.548,,,,,
Friday-Freitag,-0.047,0.489,0.536,,,,,
Saturday-Samstag,-0.078,0.303,0.381,,,,,
Sunday-Sonntag,-0.06,0.512,0.572,,,,,
,,,,,,,,
看一下用新的embedding, 同种语言的类似词之间的相似度会提高多少(en),,,,,,,
,"	Monday",Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Aver.(%)
Monday,0,0.11,0.135,0.071,0.104,0.086,0.141,9.22%
Tuesday,0.11,0,0.14,0.088,0.144,0.113,0.209,11.48%
Wednesday,0.135,0.14,0,0.122,0.169,0.14,0.227,13.32%
Thursday,0.071,0.088,0.122,0,0.088,0.089,0.154,8.72%
Friday,0.104,0.144,0.169,0.088,0,0.11,0.177,11.31%
Saturday,0.086,0.113,0.14,0.089,0.11,0,0.121,9.42%
Sunday,0.141,0.209,0.227,0.154,0.177,0.121,0,14.68%
,,,,,,,,
看一下新的word2vec下, 反义词之间会不会比原来的那个更不类似,,,,,,,
 ,Word2Vec,MultiCVM,Delta,perc.,,,,
good-bad,0.761,0.794,0.033,0.04%,,,,
happy-sad,0.698,0.789,0.091,0.13%,,,,
big-small,0.423,0.435,0.012,0.03%,,,,
polite-rude,0.723,0.854,0.131,0.18%,,,,
cold-hot,0.748,0.789,0.041,0.06%,,,,
fast-slow,0.739,0.771,0.032,0.04%,,,,
below-above,0.856,0.832,-0.025,-0.03%,,,,
buy-sell,0.873,0.91,0.037,0.04%,,,,
,,,,0.06%,,,,
,,,,,,,,
good-perfect,0.665,0.707,0.042,0.06%,,,,
happy-pleased,0.725,0.754,0.029,0.04%,,,,
big-huge,0.715,0.751,0.036,0.05%,,,,
polite-courteous,0.777,0.934,0.157,0.20%,,,,
cold-chilly,0.628,0.807,0.178,0.28%,,,,
fast-quick,0.668,0.816,0.148,0.22%,,,,
below-beneath,0.512,0.509,-0.003,-0.01%,,,,
buy-purchase,0.79,0.786,-0.004,-0.01%,,,,
,,,,0.11%,,,,
,,,,,,,,
原来在word2vec的相似度排序 vs 现在在MultiCVM的相似度排序,,,,,,,,
good|bad|perfect,bad>perfect,bad>perfect,,,,,,
happy|sad|pleased,pleased>sad,sad>pleased,,,,,,
big|small|huge,huge>small,huge>small,,,,,,
polite|rude|courteous,courteous>rude,courteous>rude,,,,,,
cold|hot|chilly,hot>chilly,chilly>hot,,,,,,
fast|slow|quick,slow>quick,quick>slow,,,,,,
below|above|beneath,above>beneath,above>beneath,,,,,,
buy|sell|purchase,sell>purchase,sell>purchase,,,,,,
